iform	iclass	record_count	category	extension	isa_set	cpl	mode_16	mode_32	mode_64	vendor_scope	source_revision	source_reference
PTWRITE_MEMy	PTWRITE	1	PTWRITE	PTWRITE	PTWRITE	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHBW_MMXq_MEMq	PUNPCKHBW	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHBW_MMXq_MMXd	PUNPCKHBW	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHBW_XMMdq_MEMdq	PUNPCKHBW	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHBW_XMMdq_XMMq	PUNPCKHBW	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHDQ_MMXq_MEMq	PUNPCKHDQ	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHDQ_MMXq_MMXd	PUNPCKHDQ	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHDQ_XMMdq_MEMdq	PUNPCKHDQ	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHDQ_XMMdq_XMMq	PUNPCKHDQ	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHQDQ_XMMdq_MEMdq	PUNPCKHQDQ	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHQDQ_XMMdq_XMMq	PUNPCKHQDQ	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHWD_MMXq_MEMq	PUNPCKHWD	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHWD_MMXq_MMXd	PUNPCKHWD	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHWD_XMMdq_MEMdq	PUNPCKHWD	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKHWD_XMMdq_XMMq	PUNPCKHWD	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLBW_MMXq_MEMd	PUNPCKLBW	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLBW_MMXq_MMXd	PUNPCKLBW	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLBW_XMMdq_MEMdq	PUNPCKLBW	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLBW_XMMdq_XMMq	PUNPCKLBW	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLDQ_MMXq_MEMd	PUNPCKLDQ	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLDQ_MMXq_MMXd	PUNPCKLDQ	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLDQ_XMMdq_MEMdq	PUNPCKLDQ	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLDQ_XMMdq_XMMq	PUNPCKLDQ	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLQDQ_XMMdq_MEMdq	PUNPCKLQDQ	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
